date_value,date_value,country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic
2020-03-13,2020-03-13,US,5123,52,1187,9,1
2020-03-14,2020-03-14,US,6650,58,1527,6,1
2020-03-15,2020-03-15,US,7890,70,1240,12,1
2020-03-16,2020-03-16,US,10022,97,2132,27,1
2020-03-17,2020-03-17,US,13159,131,3137,34,1
2020-03-18,2020-03-18,US,17853,188,4694,57,1
2020-03-19,2020-03-19,US,25514,265,7661,77,1
2020-03-20,2020-03-20,US,35489,362,9975,97,1
2020-03-21,2020-03-21,US,47865,456,12376,94,1
2020-03-22,2020-03-22,US,62983,601,15118,145,1
2020-03-23,2020-03-23,US,81280,784,18297,183,1
2020-03-24,2020-03-24,US,102030,1021,20750,237,1
2020-03-25,2020-03-25,US,125342,1333,23312,312,1
2020-03-26,2020-03-26,US,152670,1746,27328,413,1
2020-03-27,2020-03-27,US,183022,2300,30352,554,1
2020-03-28,2020-03-28,US,216010,2934,32988,634,1
2020-03-29,2020-03-29,US,250720,3561,34710,627,1
2020-03-30,2020-03-30,US,287206,4381,36486,820,1
2020-03-31,2020-03-31,US,325882,5605,38676,1224,1
2020-04-01,2020-04-01,US,366002,6846,40120,1241,1
2020-04-02,2020-04-02,US,408022,8432,42020,1586,1
2020-04-03,2020-04-03,US,451648,9747,43626,1315,1
2020-04-04,2020-04-04,US,496594,11031,44946,1284,1
2020-04-05,2020-04-05,US,541463,12470,44869,1439,1
2020-04-06,2020-04-06,US,586471,14138,45008,1668,1
2020-04-07,2020-04-07,US,631677,16447,45206,2309,1
2020-04-08,2020-04-08,US,677097,18563,45420,2116,1
2020-04-09,2020-04-09,US,723140,20638,46043,2075,1
2020-04-10,2020-04-10,US,769347,22731,46207,2093,1
2020-04-11,2020-04-11,US,814971,24777,45624,2046,1
2020-04-12,2020-04-12,US,859799,26548,44828,1771,1
2020-04-13,2020-04-13,US,903324,28376,43525,1828,1
2020-04-14,2020-04-14,US,946140,30780,42816,2404,1
2020-04-15,2020-04-15,US,988752,33329,42612,2549,1
2020-04-16,2020-04-16,US,1031579,35442,42827,2113,1
2020-04-17,2020-04-17,US,1074803,38056,43224,2614,1
2020-04-18,2020-04-18,US,1117512,40442,42709,2386,1
2020-04-19,2020-04-19,US,1159362,41671,41850,1229,1
2020-04-20,2020-04-20,US,1200783,43466,41421,1795,1
2020-04-21,2020-04-21,US,1241527,45923,40744,2457,1
2020-04-22,2020-04-22,US,1282223,48312,40696,2389,1
2020-04-23,2020-04-23,US,1323988,50749,41765,2437,1
2020-04-24,2020-04-24,US,1366959,52867,42971,2118,1
2020-04-25,2020-04-25,US,1410237,54517,43278,1650,1
2020-04-26,2020-04-26,US,1452782,55810,42545,1293,1
2020-04-27,2020-04-27,US,1493686,57235,40904,1425,1
2020-04-28,2020-04-28,US,1533759,59454,40073,2219,1
2020-04-29,2020-04-29,US,1573782,61960,40023,2506,1
2020-04-30,2020-04-30,US,1614165,64256,40383,2296,1
2020-05-01,2020-05-01,US,1655654,66125,41489,1869,1
2020-05-02,2020-05-02,US,1697099,67681,41445,1556,1
2020-05-03,2020-05-03,US,1737822,68777,40723,1096,1
2020-05-04,2020-05-04,US,1777333,70086,39511,1309,1
2020-05-05,2020-05-05,US,1816282,72393,38949,2307,1
2020-05-06,2020-05-06,US,1855028,74851,38746,2458,1
2020-05-07,2020-05-07,US,1894138,76770,39110,1919,1
2020-05-08,2020-05-08,US,1933410,78497,39272,1727,1
2020-05-09,2020-05-09,US,1972536,79976,39126,1479,1
2020-05-10,2020-05-10,US,2010226,80855,37690,879,1
2020-05-11,2020-05-11,US,2046585,81868,36359,1013,1
2020-05-12,2020-05-12,US,2082755,83483,36170,1615,1
2020-05-13,2020-05-13,US,2118516,85234,35761,1751,1
2020-05-14,2020-05-14,US,2155383,87008,36867,1774,1
2020-05-15,2020-05-15,US,2192676,88669,37293,1661,1
2020-05-16,2020-05-16,US,2230271,89892,37595,1223,1
2020-05-17,2020-05-17,US,2266704,90644,36433,752,1
2020-05-18,2020-05-18,US,2302937,91414,36233,770,1
2020-05-19,2020-05-19,US,2338714,92965,35777,1551,1
2020-05-20,2020-05-20,US,2374919,94533,36205,1568,1
2020-05-21,2020-05-21,US,2411788,95756,36869,1223,1
2020-05-22,2020-05-22,US,2448931,97025,37143,1269,1
2020-05-23,2020-05-23,US,2485783,98146,36852,1121,1
2020-05-24,2020-05-24,US,2522176,98754,36393,608,1
2020-05-25,2020-05-25,US,2557754,99267,35578,513,1
2020-05-26,2020-05-26,US,2592683,99952,34929,685,1
2020-05-27,2020-05-27,US,2626959,101461,34276,1509,1
2020-05-28,2020-05-28,US,2661871,102643,34912,1182,1
2020-05-29,2020-05-29,US,2697650,103809,35779,1166,1
2020-05-30,2020-05-30,US,2734097,104778,36447,969,1
2020-05-31,2020-05-31,US,2770030,105364,35933,586,1
2020-06-01,2020-06-01,US,2804862,106136,34832,772,1
2020-06-02,2020-06-02,US,2839799,107169,34937,1033,1
2020-06-03,2020-06-03,US,2874595,108159,34796,990,1
2020-06-04,2020-06-04,US,2909633,109168,35038,1009,1
2020-06-05,2020-06-05,US,2945705,110138,36072,970,1
2020-06-06,2020-06-06,US,2982056,110818,36351,680,1
2020-06-07,2020-06-07,US,3017359,111269,35303,451,1
2020-06-08,2020-06-08,US,3051759,111774,34400,505,1
2020-06-09,2020-06-09,US,3085675,112714,33916,940,1
2020-06-10,2020-06-10,US,3119928,113631,34253,917,1
2020-06-11,2020-06-11,US,3154949,114512,35021,881,1
2020-06-12,2020-06-12,US,3191068,115334,36119,822,1
2020-06-13,2020-06-13,US,3228080,116084,37012,750,1
2020-06-14,2020-06-14,US,3264494,116382,36414,298,1
2020-06-15,2020-06-15,US,3300394,116773,35900,391,1
2020-06-16,2020-06-16,US,3336837,117612,36443,839,1
2020-06-17,2020-06-17,US,3374076,118363,37239,751,1
2020-06-18,2020-06-18,US,3412356,119067,38280,704,1
2020-06-19,2020-06-19,US,3452100,119739,39744,672,1
2020-06-20,2020-06-20,US,3493183,120349,41083,610,1
2020-06-21,2020-06-21,US,3534111,120604,40928,255,1
2020-06-22,2020-06-22,US,3575649,121010,41538,406,1
2020-06-23,2020-06-23,US,3618471,121847,42822,837,1
2020-06-24,2020-06-24,US,3662206,122604,43735,757,1
2020-06-25,2020-06-25,US,3707531,125026,45325,2422,1
2020-06-26,2020-06-26,US,3755122,125631,47591,605,1
2020-06-27,2020-06-27,US,3803890,126120,48768,489,1
2020-06-28,2020-06-28,US,3852898,126361,49008,241,1
2020-06-29,2020-06-29,US,3902264,126711,49366,350,1
2020-06-30,2020-06-30,US,3952853,127432,50589,721,1
2020-07-01,2020-07-01,US,4005525,128105,52672,673,1
2020-07-02,2020-07-02,US,4060512,128803,54987,698,1
2020-07-03,2020-07-03,US,4116945,129442,56433,639,1
2020-07-04,2020-07-04,US,4172758,129689,55813,247,1
2020-07-05,2020-07-05,US,4228889,129960,56131,271,1
2020-07-06,2020-07-06,US,4284133,130285,55244,325,1
2020-07-07,2020-07-07,US,4342126,131480,57993,1195,1
2020-07-08,2020-07-08,US,4401831,132300,59705,820,1
2020-07-09,2020-07-09,US,4463975,133290,62144,990,1
2020-07-10,2020-07-10,US,4529131,134101,65156,811,1
2020-07-11,2020-07-11,US,4594541,134777,65410,676,1
2020-07-12,2020-07-12,US,4659759,135205,65218,428,1
2020-07-13,2020-07-13,US,4724794,135566,65035,361,1
2020-07-14,2020-07-14,US,4791746,136466,66952,900,1
2020-07-15,2020-07-15,US,4860084,137415,68338,949,1
2020-07-16,2020-07-16,US,4932151,138358,72067,943,1
2020-07-17,2020-07-17,US,5005428,139266,73277,908,1
2020-07-18,2020-07-18,US,5077434,140119,72006,853,1
2020-07-19,2020-07-19,US,5147890,140534,70456,415,1
2020-07-20,2020-07-20,US,5216967,141025,69077,491,1
2020-07-21,2020-07-21,US,5285734,142121,68767,1096,1
2020-07-22,2020-07-22,US,5355934,143316,70200,1195,1
2020-07-23,2020-07-23,US,5426599,144430,70665,1114,1
2020-07-24,2020-07-24,US,5498957,145560,72358,1130,1
2020-07-25,2020-07-25,US,5570597,146465,71640,905,1
2020-07-26,2020-07-26,US,5638719,146935,68122,470,1
2020-07-27,2020-07-27,US,5704428,148011,65709,1076,1
2020-02-26,2020-02-26,Brazil,4,0,3,0,1
2020-02-27,2020-02-27,Brazil,16,0,12,0,1
2020-02-28,2020-02-28,Brazil,37,0,21,0,1
2020-02-29,2020-02-29,Brazil,59,0,22,0,1
2020-03-01,2020-03-01,Brazil,87,0,28,0,1
2020-03-02,2020-03-02,Brazil,117,0,30,0,1
2020-03-03,2020-03-03,Brazil,151,0,34,0,1
2020-03-04,2020-03-04,Brazil,181,0,30,0,1
2020-03-05,2020-03-05,Brazil,214,0,33,0,1
2020-03-06,2020-03-06,Brazil,249,0,35,0,1
2020-03-07,2020-03-07,Brazil,287,0,38,0,1
2020-03-08,2020-03-08,Brazil,323,0,36,0,1
2020-03-09,2020-03-09,Brazil,356,0,33,0,1
2020-03-10,2020-03-10,Brazil,387,0,31,0,1
2020-03-11,2020-03-11,Brazil,417,0,30,0,1
2020-03-12,2020-03-12,Brazil,453,0,36,0,1
2020-03-13,2020-03-13,Brazil,569,0,116,0,1
2020-03-14,2020-03-14,Brazil,713,0,144,0,1
2020-03-15,2020-03-15,Brazil,833,0,120,0,1
2020-03-16,2020-03-16,Brazil,957,0,124,0,1
2020-03-17,2020-03-17,Brazil,1158,1,201,1,1
2020-03-18,2020-03-18,Brazil,1355,3,197,2,1
2020-03-19,2020-03-19,Brazil,1724,6,369,3,1
2020-03-20,2020-03-20,Brazil,2157,11,433,5,1
2020-03-21,2020-03-21,Brazil,2686,15,529,4,1
2020-03-22,2020-03-22,Brazil,3546,25,860,10,1
2020-03-23,2020-03-23,Brazil,4531,34,985,9,1
2020-03-24,2020-03-24,Brazil,5559,46,1028,12,1
2020-03-25,2020-03-25,Brazil,6601,59,1042,13,1
2020-03-26,2020-03-26,Brazil,7757,77,1156,18,1
2020-03-27,2020-03-27,Brazil,8998,92,1241,15,1
2020-03-28,2020-03-28,Brazil,10346,111,1348,19,1
2020-03-29,2020-03-29,Brazil,11655,136,1309,25,1
2020-03-30,2020-03-30,Brazil,12903,159,1248,23,1
2020-03-31,2020-03-31,Brazil,14790,201,1887,42,1
2020-04-01,2020-04-01,Brazil,17151,240,2361,39,1
2020-04-02,2020-04-02,Brazil,19941,324,2790,84,1
2020-04-03,2020-04-03,Brazil,22891,359,2950,35,1
2020-04-04,2020-04-04,Brazil,26190,445,3299,86,1
2020-04-05,2020-04-05,Brazil,29305,486,3115,41,1
2020-04-06,2020-04-06,Brazil,32483,564,3178,78,1
2020-04-07,2020-04-07,Brazil,36370,686,3887,122,1
2020-04-08,2020-04-08,Brazil,40992,819,4622,133,1
2020-04-09,2020-04-09,Brazil,46004,950,5012,131,1
2020-04-10,2020-04-10,Brazil,51006,1057,5002,107,1
2020-04-11,2020-04-11,Brazil,55614,1124,4608,67,1
2020-04-12,2020-04-12,Brazil,60205,1223,4591,99,1
2020-04-13,2020-04-13,Brazil,64589,1328,4384,105,1
2020-04-14,2020-04-14,Brazil,69272,1532,4683,204,1
2020-04-15,2020-04-15,Brazil,75070,1736,5798,204,1
2020-04-16,2020-04-16,Brazil,81031,1924,5961,188,1
2020-04-17,2020-04-17,Brazil,87922,2141,6891,217,1
2020-04-18,2020-04-18,Brazil,95321,2354,7399,213,1
2020-04-19,2020-04-19,Brazil,102380,2462,7059,108,1
2020-04-20,2020-04-20,Brazil,109224,2587,6844,125,1
2020-04-21,2020-04-21,Brazil,116069,2741,6845,154,1
2020-04-22,2020-04-22,Brazil,123148,2906,7079,165,1
2020-04-23,2020-04-23,Brazil,131450,3331,8302,425,1
2020-04-24,2020-04-24,Brazil,140512,3704,9062,373,1
2020-04-25,2020-04-25,Brazil,150885,4057,10373,353,1
2020-04-26,2020-04-26,Brazil,161351,4286,10466,229,1
2020-04-27,2020-04-27,Brazil,172213,4603,10862,317,1
2020-04-28,2020-04-28,Brazil,184160,5083,11947,480,1
2020-04-29,2020-04-29,Brazil,197244,5513,13084,430,1
2020-04-30,2020-04-30,Brazil,211649,6006,14405,493,1
2020-05-01,2020-05-01,Brazil,225807,6412,14158,406,1
2020-05-02,2020-05-02,Brazil,239665,6761,13858,349,1
2020-05-03,2020-05-03,Brazil,253156,7051,13491,290,1
2020-05-04,2020-05-04,Brazil,267410,7367,14254,316,1
2020-05-05,2020-05-05,Brazil,282244,7938,14834,571,1
2020-05-06,2020-05-06,Brazil,299083,8588,16839,650,1
2020-05-07,2020-05-07,Brazil,316796,9190,17713,602,1
2020-05-08,2020-05-08,Brazil,335771,10017,18975,827,1
2020-05-09,2020-05-09,Brazil,355047,10656,19276,639,1
2020-05-10,2020-05-10,Brazil,373468,11123,18421,467,1
2020-05-11,2020-05-11,Brazil,391305,11653,17837,530,1
2020-05-12,2020-05-12,Brazil,409379,12461,18074,808,1
2020-05-13,2020-05-13,Brazil,428659,13240,19280,779,1
2020-05-14,2020-05-14,Brazil,449123,13999,20464,759,1
2020-05-15,2020-05-15,Brazil,471331,14962,22208,963,1
2020-05-16,2020-05-16,Brazil,494028,15662,22697,700,1
2020-05-17,2020-05-17,Brazil,515255,16118,21227,456,1
2020-05-18,2020-05-18,Brazil,537351,16853,22096,735,1
2020-05-19,2020-05-19,Brazil,560544,17983,23193,1130,1
2020-05-20,2020-05-20,Brazil,585136,18859,24592,876,1
2020-05-21,2020-05-21,Brazil,610554,20047,25418,1188,1
2020-05-22,2020-05-22,Brazil,636980,21048,26426,1001,1
2020-05-23,2020-05-23,Brazil,663348,22013,26368,965,1
2020-05-24,2020-05-24,Brazil,689487,22666,26139,653,1
2020-05-25,2020-05-25,Brazil,714454,23473,24967,807,1
2020-05-26,2020-05-26,Brazil,739538,24512,25084,1039,1
2020-05-27,2020-05-27,Brazil,765475,25598,25937,1086,1
2020-05-28,2020-05-28,Brazil,793140,26754,27665,1156,1
2020-05-29,2020-05-29,Brazil,822212,27878,29072,1124,1
2020-05-30,2020-05-30,Brazil,853720,28834,31508,956,1
2020-05-31,2020-05-31,Brazil,883705,29314,29985,480,1
2020-06-01,2020-06-01,Brazil,911366,29937,27661,623,1
2020-06-02,2020-06-02,Brazil,940680,31199,29314,1262,1
2020-06-03,2020-06-03,Brazil,971183,32548,30503,1349,1
2020-06-04,2020-06-04,Brazil,1003072,34021,31889,1473,1
2020-06-05,2020-06-05,Brazil,1035973,35026,32901,1005,1
2020-06-06,2020-06-06,Brazil,1068813,35930,32840,904,1
2020-06-07,2020-06-07,Brazil,1100032,36455,31219,525,1
2020-06-08,2020-06-08,Brazil,1129348,37134,29316,679,1
2020-06-09,2020-06-09,Brazil,1160407,38406,31059,1272,1
2020-06-10,2020-06-10,Brazil,1192991,39680,32584,1274,1
2020-06-11,2020-06-11,Brazil,1226162,40919,33171,1239,1
2020-06-12,2020-06-12,Brazil,1258832,41828,32670,909,1
2020-06-13,2020-06-13,Brazil,1290279,42720,31447,892,1
2020-06-14,2020-06-14,Brazil,1319924,43332,29645,612,1
2020-06-15,2020-06-15,Brazil,1348816,43959,28892,627,1
2020-06-16,2020-06-16,Brazil,1380099,45241,31283,1282,1
2020-06-17,2020-06-17,Brazil,1412586,46510,32487,1269,1
2020-06-18,2020-06-18,Brazil,1444050,47748,31464,1238,1
2020-06-19,2020-06-19,Brazil,1482693,48954,38643,1206,1
2020-06-20,2020-06-20,Brazil,1521393,49976,38700,1022,1
2020-06-21,2020-06-21,Brazil,1556263,50591,34870,615,1
2020-06-22,2020-06-22,Brazil,1589491,51271,33228,680,1
2020-06-23,2020-06-23,Brazil,1625088,52645,35597,1374,1
2020-06-24,2020-06-24,Brazil,1663373,53830,38285,1185,1
2020-06-25,2020-06-25,Brazil,1702845,54971,39472,1141,1
2020-06-26,2020-06-26,Brazil,1745187,55961,42342,990,1
2020-06-27,2020-06-27,Brazil,1787495,57070,42308,1109,1
2020-06-28,2020-06-28,Brazil,1827743,57622,40248,552,1
2020-06-29,2020-06-29,Brazil,1865038,58314,37295,692,1
2020-06-30,2020-06-30,Brazil,1902112,59594,37074,1280,1
2020-07-01,2020-07-01,Brazil,1942366,60632,40254,1038,1
2020-07-02,2020-07-02,Brazil,1985452,61884,43086,1252,1
2020-07-03,2020-07-03,Brazil,2029070,63174,43618,1290,1
2020-07-04,2020-07-04,Brazil,2071926,64265,42856,1091,1
2020-07-05,2020-07-05,Brazil,2111446,64867,39520,602,1
2020-07-06,2020-07-06,Brazil,2147275,65487,35829,620,1
2020-07-07,2020-07-07,Brazil,2186011,66741,38736,1254,1
2020-07-08,2020-07-08,Brazil,2226802,67964,40791,1223,1
2020-07-09,2020-07-09,Brazil,2268641,69184,41839,1220,1
2020-07-10,2020-07-10,Brazil,2311931,70398,43290,1214,1
2020-07-11,2020-07-11,Brazil,2354702,71469,42771,1071,1
2020-07-12,2020-07-12,Brazil,2393819,72100,39117,631,1
2020-07-13,2020-07-13,Brazil,2429259,72833,35440,733,1
2020-07-14,2020-07-14,Brazil,2466680,74133,37421,1300,1
2020-07-15,2020-07-15,Brazil,2505144,75366,38464,1233,1
2020-07-16,2020-07-16,Brazil,2545899,76688,40755,1322,1
2020-07-17,2020-07-17,Brazil,2585504,77851,39605,1163,1
2020-07-18,2020-07-18,Brazil,2622940,78772,37436,921,1
2020-07-19,2020-07-19,Brazil,2657710,79488,34770,716,1
2020-07-20,2020-07-20,Brazil,2689842,80120,32132,632,1
2020-07-21,2020-07-21,Brazil,2724561,81487,34719,1367,1
2020-07-22,2020-07-22,Brazil,2769023,82771,44462,1284,1
2020-07-23,2020-07-23,Brazil,2818672,84082,49649,1311,1
2020-07-24,2020-07-24,Brazil,2871076,85238,52404,1156,1
2020-07-25,2020-07-25,Brazil,2924152,86449,53076,1211,1
2020-07-26,2020-07-26,Brazil,2971055,87004,46903,555,1
2020-07-27,2020-07-27,Brazil,3012874,87618,41819,614,1
2020-01-30,2020-01-30,India,4,0,3,0,1
2020-01-31,2020-01-31,India,11,0,7,0,1
2020-02-01,2020-02-01,India,22,0,11,0,1
2020-02-02,2020-02-02,India,33,0,11,0,1
2020-02-03,2020-02-03,India,44,0,11,0,1
2020-02-04,2020-02-04,India,56,0,12,0,1
2020-02-05,2020-02-05,India,71,0,15,0,1
2020-02-06,2020-02-06,India,88,0,17,0,1
2020-02-07,2020-02-07,India,107,0,19,0,1
2020-02-08,2020-02-08,India,125,0,18,0,1
2020-02-09,2020-02-09,India,143,0,18,0,1
2020-02-10,2020-02-10,India,162,0,19,0,1
2020-02-11,2020-02-11,India,182,0,20,0,1
2020-02-12,2020-02-12,India,201,0,19,0,1
2020-02-13,2020-02-13,India,220,0,19,0,1
2020-02-14,2020-02-14,India,239,0,19,0,1
2020-02-15,2020-02-15,India,258,0,19,0,1
2020-02-16,2020-02-16,India,276,0,18,0,1
2020-02-17,2020-02-17,India,293,0,17,0,1
2020-02-18,2020-02-18,India,310,0,17,0,1
2020-02-19,2020-02-19,India,327,0,17,0,1
2020-02-20,2020-02-20,India,344,0,17,0,1
2020-02-21,2020-02-21,India,363,0,19,0,1
2020-02-22,2020-02-22,India,382,0,19,0,1
2020-02-23,2020-02-23,India,400,0,18,0,1
2020-02-24,2020-02-24,India,418,0,18,0,1
2020-02-25,2020-02-25,India,436,0,18,0,1
2020-02-26,2020-02-26,India,455,0,19,0,1
2020-02-27,2020-02-27,India,474,0,19,0,1
2020-02-28,2020-02-28,India,494,0,20,0,1
2020-02-29,2020-02-29,India,512,0,18,0,1
2020-03-01,2020-03-01,India,530,0,18,0,1
2020-03-02,2020-03-02,India,545,0,15,0,1
2020-03-03,2020-03-03,India,561,0,16,0,1
2020-03-04,2020-03-04,India,593,0,32,0,1
2020-03-05,2020-03-05,India,618,0,25,0,1
2020-03-06,2020-03-06,India,637,0,19,0,1
2020-03-07,2020-03-07,India,653,0,16,0,1
2020-03-08,2020-03-08,India,669,0,16,0,1
2020-03-09,2020-03-09,India,683,0,14,0,1
2020-03-10,2020-03-10,India,704,0,21,0,1
2020-03-11,2020-03-11,India,725,1,21,1,1
2020-03-12,2020-03-12,India,750,1,25,0,1
2020-03-13,2020-03-13,India,776,2,26,1,1
2020-03-14,2020-03-14,India,812,2,36,0,1
2020-03-15,2020-03-15,India,849,2,37,0,1
2020-03-16,2020-03-16,India,881,2,32,0,1
2020-03-17,2020-03-17,India,925,3,44,1,1
2020-03-18,2020-03-18,India,970,3,45,0,1
2020-03-19,2020-03-19,India,1037,4,67,1,1
2020-03-20,2020-03-20,India,1131,5,94,1,1
2020-03-21,2020-03-21,India,1278,4,147,-1,1
2020-03-22,2020-03-22,India,1448,7,170,3,1
2020-03-23,2020-03-23,India,1667,10,219,3,1
2020-03-24,2020-03-24,India,1865,10,198,0,1
2020-03-25,2020-03-25,India,2120,12,255,2,1
2020-03-26,2020-03-26,India,2373,20,253,8,1
2020-03-27,2020-03-27,India,2703,20,330,0,1
2020-03-28,2020-03-28,India,3038,24,335,4,1
2020-03-29,2020-03-29,India,3319,27,281,3,1
2020-03-30,2020-03-30,India,3725,32,406,5,1
2020-03-31,2020-03-31,India,4156,35,431,3,1
2020-04-01,2020-04-01,India,4993,58,837,23,1
2020-04-02,2020-04-02,India,6095,72,1102,14,1
2020-04-03,2020-04-03,India,6945,72,850,0,1
2020-04-04,2020-04-04,India,8022,86,1077,14,1
2020-04-05,2020-04-05,India,9262,99,1240,13,1
2020-04-06,2020-04-06,India,11169,136,1907,37,1
2020-04-07,2020-04-07,India,13061,150,1892,14,1
2020-04-08,2020-04-08,India,14992,178,1931,28,1
2020-04-09,2020-04-09,India,17110,226,2118,48,1
2020-04-10,2020-04-10,India,19416,246,2306,20,1
2020-04-11,2020-04-11,India,21838,288,2422,42,1
2020-04-12,2020-04-12,India,24270,331,2432,43,1
2020-04-13,2020-04-13,India,27081,358,2811,27,1
2020-04-14,2020-04-14,India,30013,393,2932,35,1
2020-04-15,2020-04-15,India,32871,405,2858,12,1
2020-04-16,2020-04-16,India,35877,448,3006,43,1
2020-04-17,2020-04-17,India,38843,486,2966,38,1
2020-04-18,2020-04-18,India,42112,521,3269,35,1
2020-04-19,2020-04-19,India,45976,559,3864,38,1
2020-04-20,2020-04-20,India,49580,592,3604,33,1
2020-04-21,2020-04-21,India,53436,645,3856,53,1
2020-04-22,2020-04-22,India,57294,681,3858,36,1
2020-04-23,2020-04-23,India,61444,721,4150,40,1
2020-04-24,2020-04-24,India,65630,780,4186,59,1
2020-04-25,2020-04-25,India,70045,825,4415,45,1
2020-04-26,2020-04-26,India,74526,881,4481,56,1
2020-04-27,2020-04-27,India,79015,939,4489,58,1
2020-04-28,2020-04-28,India,83717,1008,4702,69,1
2020-04-29,2020-04-29,India,88483,1079,4766,71,1
2020-04-30,2020-04-30,India,93332,1154,4849,75,1
2020-05-01,2020-05-01,India,98623,1223,5291,69,1
2020-05-02,2020-05-02,India,104276,1323,5653,100,1
2020-05-03,2020-05-03,India,110413,1391,6137,68,1
2020-05-04,2020-05-04,India,117498,1566,7085,175,1
2020-05-05,2020-05-05,India,124801,1693,7303,127,1
2020-05-06,2020-05-06,India,132582,1785,7781,92,1
2020-05-07,2020-05-07,India,140599,1889,8017,104,1
2020-05-08,2020-05-08,India,148767,1985,8168,96,1
2020-05-09,2020-05-09,India,156907,2101,8140,116,1
2020-05-10,2020-05-10,India,165611,2212,8704,111,1
2020-05-11,2020-05-11,India,174385,2294,8774,82,1
2020-05-12,2020-05-12,India,183152,2415,8767,121,1
2020-05-13,2020-05-13,India,192015,2551,8863,136,1
2020-05-14,2020-05-14,India,201020,2649,9005,98,1
2020-05-15,2020-05-15,India,210046,2753,9026,104,1
2020-05-16,2020-05-16,India,219542,2871,9496,118,1
2020-05-17,2020-05-17,India,229458,3025,9916,154,1
2020-05-18,2020-05-18,India,239517,3156,10059,131,1
2020-05-19,2020-05-19,India,250210,3302,10693,146,1
2020-05-20,2020-05-20,India,261182,3434,10972,132,1
2020-05-21,2020-05-21,India,272559,3584,11377,150,1
2020-05-22,2020-05-22,India,284339,3726,11780,142,1
2020-05-23,2020-05-23,India,296426,3868,12087,142,1
2020-05-24,2020-05-24,India,308861,4024,12435,156,1
2020-05-25,2020-05-25,India,321349,4172,12488,148,1
2020-05-26,2020-05-26,India,333680,4344,12331,172,1
2020-05-27,2020-05-27,India,346288,4534,12608,190,1
2020-05-28,2020-05-28,India,359095,4711,12807,177,1
2020-05-29,2020-05-29,India,372232,4980,13137,269,1
2020-05-30,2020-05-30,India,385658,5185,13426,205,1
2020-05-31,2020-05-31,India,399385,5408,13727,223,1
2020-06-01,2020-06-01,India,413099,5608,13714,200,1
2020-06-02,2020-06-02,India,427021,5829,13922,221,1
2020-06-03,2020-06-03,India,441250,6088,14229,259,1
2020-06-04,2020-06-04,India,455749,6363,14499,275,1
2020-06-05,2020-06-05,India,470359,6649,14610,286,1
2020-06-06,2020-06-06,India,485222,6946,14863,297,1
